=== Traffic Light Controller Verification Started ===
Time: 0

--- Test 1: Reset Functionality ---
VCD info: dumpfile traffic_light_controller.vcd opened for output.

Time    | State         | NS_Lights     | EW_Lights     | Timer
--------|---------------|---------------|---------------|-------
PASS: Reset properly initializes to NS_GREEN state
Reset released at time 30000

--- Test 2: Complete Cycle Verification ---
Cycle 1: NS_GREEN phase - NS traffic flows
35000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 0
45000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 1
55000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 2
65000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 3
75000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 4
85000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 5
95000   |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 6
105000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 7
115000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 8
125000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 9
135000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 10
145000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 11
155000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 12
165000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 13
175000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 14
185000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 15
195000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 16
205000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 17
215000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 18
225000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 19
235000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 20
245000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 21
255000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 22
265000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 23
275000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 24
285000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 25
295000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 26
305000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 27
315000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 28
325000  |  NS_GREEN     | R:0 Y:0 G:1   | R:1 Y:0 G:0   | 29
Cycle 31: NS_YELLOW phase - NS prepares to stop
335000  |  NS_YELLOW    | R:0 Y:1 G:0   | R:1 Y:0 G:0   | 0
345000  |  NS_YELLOW    | R:0 Y:1 G:0   | R:1 Y:0 G:0   | 1
355000  |  NS_YELLOW    | R:0 Y:1 G:0   | R:1 Y:0 G:0   | 2
365000  |  NS_YELLOW    | R:0 Y:1 G:0   | R:1 Y:0 G:0   | 3
375000  |  NS_YELLOW    | R:0 Y:1 G:0   | R:1 Y:0 G:0   | 4
385000  |  ALL_RED1     | R:1 Y:0 G:0   | R:1 Y:0 G:0   | 0
Cycle 36: ALL_RED1 phase - Safety gap
395000  |  ALL_RED1     | R:1 Y:0 G:0   | R:1 Y:0 G:0   | 1
405000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 0
Cycle 38: EW_GREEN phase - EW traffic flows
415000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 1
425000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 2
435000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 3
445000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 4
455000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 5
465000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 6
475000  |  EW_GREEN     | R:1 Y:0 G:0   | R:0 Y:0 G:1   | 7
